id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
663491,7 - Nice apt. near OLD TOWN SQUARE,2049124,Jakub,,Praha 1,50.08569463214917,14.417570754125846,Entire home/apt,916,2,42,2018-07-28,0.57,21,344
663987,Beautiful downtown apt. w/balcony 3,150113,Matyas,,Praha 1,50.083930143148216,14.426812401407089,Entire home/apt,1984,2,124,2017-12-15,1.68,2,235
667478,BOOK NOW HOTEL IN PRAGUE CENTER,3279605,Elena And Kira,,Praha 2,50.07038145525779,14.430856701581856,Entire home/apt,1003,1,167,2018-08-19,2.28,14,353
668858,City Center Heights  No.4 Studio,2635161,Pavel,,Praha 1,50.090753419818085,14.418040943490361,Entire home/apt,2224,2,28,2018-09-10,0.73,15,98
668880,City Center Heights No.5 1-Bedroom,2635161,Pavel,,Praha 1,50.08951243122827,14.419328852752825,Entire home/apt,2420,2,39,2018-09-03,0.93,15,16
668902,City Center Heights No.3 2-Bedroom,2635161,Pavel,,Praha 1,50.09149596897011,14.418857280746018,Entire home/apt,3031,2,35,2018-08-21,0.72,15,355
668908,City Center Heights No.6 2-Bedroom,2635161,Pavel,,Praha 1,50.091580562965156,14.420371757889228,Entire home/apt,3031,2,13,2018-07-08,0.27,15,358
672097,Apartment Balbin,3385505,Hana,,Praha 2,50.07811893516227,14.434785740770304,Private room,1919,1,0,,,1,357
672792,Swing 3- Budget flat in city center,3174648,Petr,,Praha 3,50.07582867838341,14.452314796049604,Entire home/apt,1265,3,9,2017-10-03,0.12,44,362
673821,STUDIO2 APARTMENTS IN PRAGUE CENTER,3279605,Elena And Kira,,Praha 2,50.07327840441704,14.43121671586015,Entire home/apt,1003,1,170,2018-05-08,2.32,14,346
674533,17 - Nice apt. near OLD TOWN SQUARE,2049124,Jakub,,Praha 1,50.08473892962615,14.41773516432296,Entire home/apt,2028,2,25,2017-10-01,0.35,21,357
674848,8 - Nice apt. near OLD TOWN SQUARE,2049124,Jakub,,Praha 1,50.085479310470994,14.418790822831257,Entire home/apt,2028,3,14,2016-09-11,0.19,21,364
675106,Wenceslas Square - Studio Apartment,3287258,David,,Praha 1,50.08115933688647,14.425640370570358,Entire home/apt,3183,1,1,2014-12-24,0.02,23,30
676986,Vltava 5 - Historical City Center,3174648,Petr,,Praha 2,50.076059013715934,14.414437813367766,Entire home/apt,4077,2,2,2016-05-22,0.03,44,362
679276,"Prague Center, 2+1 rooms apartment",3457205,Marek,,Praha 5,50.078671769191295,14.405701581284115,Entire home/apt,2028,2,27,2018-07-08,0.37,2,344
680082,15 - Nice apt. near OLD TOWN SQUARE,2049124,Jakub,,Praha 1,50.086534839436304,14.418543645018596,Entire home/apt,2028,1,17,2018-05-06,0.23,21,360
681166,BED & BREAKFAST IN PRAGUE  CENTER,3279605,Elena And Kira,,Praha 2,50.071412499863825,14.430601540252098,Entire home/apt,1156,1,334,2018-09-04,4.58,14,301
685251,12 - Nice apt. near OLD TOWN SQUARE,2049124,Jakub,,Praha 1,50.086156839983715,14.419378184177255,Entire home/apt,2028,1,19,2016-09-19,0.26,21,364
686996,luxury apartment in the center ,3425325,Kateřina,,Praha 6,50.10286609040815,14.417558090896575,Entire home/apt,1374,2,108,2018-09-17,1.51,2,337
688387,Kaprova - Old Town Square,786483,Svetlana,,Praha 1,50.08738938792055,14.419381800066596,Entire home/apt,2529,2,188,2018-08-30,2.58,4,169
689953,Blízko Historického Centra; wi-fi,3524444,Ondřej,,Praha 10,50.070652631761575,14.458479982642471,Entire home/apt,763,1,161,2018-09-13,2.20,4,335
690105,The BEST place in Prague - Old Town,1199726,Monika,,Praha 1,50.0896408517707,14.417707778238249,Entire home/apt,2987,2,441,2018-09-17,6.05,2,272
690463,4 - Nice apt. near OLD TOWN SQUARE,2049124,Jakub,,Praha 1,50.08681993584178,14.419190749052307,Entire home/apt,1788,2,24,2017-05-15,0.33,21,357
690526,Opletalova Apartment,3528009,Efi,,Praha 1,50.08273954700357,14.430827120091429,Entire home/apt,1504,1,253,2018-09-12,3.48,3,314
691240,"Central apartment suite, city centr",3533590,Andy,,Praha 2,50.07631234445268,14.43135903761041,Entire home/apt,1701,3,122,2018-09-17,1.68,14,297
691380,"Sunny Prague Terrace Apartment,",3533590,Andy,,Praha 9,50.106525539006014,14.489201136874883,Entire home/apt,1395,3,51,2018-09-14,0.87,14,320
691485,Apartment -the best Prague location,3534836,Tomas,,Praha 1,50.07848567400139,14.417846972854939,Entire home/apt,632,2,271,2018-09-14,3.76,2,292
693163,16th Century Apartment with View,3545876,Dean,,Praha 1,50.08788276746393,14.400709676834508,Private room,3031,2,12,2018-07-10,0.22,10,325
695142,Modern Apartment - Centre,3557824,Marketa & David,,Praha 7,50.10104066929729,14.435983112050135,Entire home/apt,1395,2,43,2018-02-26,0.62,1,194
696116,Nice apartments near Prague castle,2123719,Simča,,Praha 6,50.084957505876986,14.376728251774871,Entire home/apt,2289,1,8,2018-06-17,0.12,2,361
696261,The house and the Old Town Square,3327137,Pavel,,Praha 1,50.08879547295474,14.42385718453407,Entire home/apt,1265,3,96,2018-08-23,1.35,5,334
