,model,name,avg_fit_time,avg_score_time,r2,mse,mae,maxE
0,gbr_msl_100,BinAll,3.6075775623321533,0.07142305374145508,0.34021409770747696,3168.040854043333,43.05391253482219,250.2053996115294
1,gbr_msl_100,BinAllNoDay,2.4370625019073486,0.06534568468729655,0.3392599860235572,3170.5905541375855,42.980284982323276,252.93260815938478
2,gbr_msl_100,BinAllNoDayNoOut,2.002687374750773,0.05032126108805338,0.3282719700976097,3248.2676594588556,44.693436266061134,251.20669455708244
3,gbr_msl_100,BinAllNoDayNoOut20Attr,2.489592711130778,0.03934939702351888,0.03654313206045956,4655.071326931706,54.81086174512733,254.07211777623874
4,gbr_msl_100,BinAllNoDayNoOut10Attr,1.306491772333781,0.03620028495788574,0.017166292223477726,4754.767707909272,55.77049034395767,246.95262717072683
5,gbr_msl_200,BinAll,3.6858081022898355,0.09083724021911621,0.34814396881338955,3128.8165269633682,42.80584091787771,252.6187827083426
6,gbr_msl_200,BinAllNoDay,2.5760969320933023,0.06001607577006022,0.35260222834900184,3104.647145825073,42.606725059591575,255.30623762037757
7,gbr_msl_200,BinAllNoDayNoOut,2.061314264933268,0.051650444666544594,0.32138129010897737,3280.4667481872934,44.981823955636976,250.16717732227644
8,gbr_msl_200,BinAllNoDayNoOut20Attr,2.482072035471598,0.0396576722462972,0.03845563627729435,4645.4954707851675,55.1817205108469,247.44041818043885
9,gbr_msl_200,BinAllNoDayNoOut10Attr,1.2800817489624023,0.037663539250691734,0.021366884474068575,4733.655867626003,55.80543603960743,244.56187054718995
