,model,name,avg_fit_time,avg_score_time,r2,mse,mae,maxE
0,svr_max_iter=5000,BinAll,27.406748692194622,47.544223626454674,0.04438906752556434,4600.462010629463,52.682638346981925,231.37886452434032
1,svr_max_iter=5000,BinAllNoDay,18.41771737734477,28.616802215576172,0.036489560730646096,4640.559020244144,52.44419487750423,233.1752333877608
2,svr_max_iter=5000,BinAllNoDayNoOut,15.399608532587687,23.893194595972698,-0.02879859638742051,4986.0668300487805,53.64849861587363,232.11331362122158
3,svr_max_iter=5000,BinAllNoDayNoOut20Attr,7.921903610229492,10.493347009023031,-0.10281697222726567,5347.056328441071,55.05628947091677,238.1032711548293
4,svr_max_iter=5000,BinAllNoDayNoOut10Attr,6.045866966247559,7.124445994695027,-0.09004761477347656,5281.777846753453,55.067893391895275,231.75005499725876
5,"svr_max_iter=5000,C=1000",BinAll,27.20857310295105,46.44581667582194,0.3050000384571869,3326.7218123521834,44.133329268370595,265.3616734965437
6,"svr_max_iter=5000,C=1000",BinAllNoDay,19.18577178319295,29.60525155067444,0.3050074451570322,3329.4785011943154,44.017086683719334,261.66956963676176
7,"svr_max_iter=5000,C=1000",BinAllNoDayNoOut,15.828145662943522,24.643349488576252,0.25338167671666184,3596.3121724905104,46.20319814080816,279.94032020385833
8,"svr_max_iter=5000,C=1000",BinAllNoDayNoOut20Attr,8.046862284342447,10.415549198786417,-21.93313068132004,109247.91641995935,268.5228128040474,645.7626579093848
9,"svr_max_iter=5000,C=1000",BinAllNoDayNoOut10Attr,6.108585596084595,6.968503872553508,-14.6844013060772,73925.782068402,224.64735003087162,538.9988091372833
10,svr_max_iter=10000,BinAll,55.088531176249184,95.78546110788982,-0.016587922872538702,4898.60198174786,49.87450718153443,259.662495809257
11,svr_max_iter=10000,BinAllNoDay,37.016563495000206,58.33264660835266,-0.05108875566897594,5069.892931829862,50.150890589259696,259.86604931030644
12,svr_max_iter=10000,BinAllNoDayNoOut,30.401021242141724,47.71584073702494,-0.08632026438287473,5270.3496519499095,52.76645412622253,257.7814087857726
13,svr_max_iter=10000,BinAllNoDayNoOut20Attr,14.81712293624878,18.40328900019328,-0.25799267345337423,6103.684284891521,55.836585551637064,265.2780198582272
14,svr_max_iter=10000,BinAllNoDayNoOut10Attr,11.286447286605835,12.653518994649252,-0.36754776213004975,6626.367912640203,58.10095626293464,260.7272040059136
