VertexCount;EdgeCount;ComponentCount;MaxComponentSize;AverageDegree
258;3;497;2;0.02326
257;2;498;2;0.01556
256;1;499;2;0.00781
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
