VertexCount;EdgeCount;ComponentCount;MaxComponentSize;AverageDegree
261;100;400;7;0.76628
260;98;402;6;0.75385
259;96;404;6;0.74131
258;94;406;6;0.72868
257;92;408;5;0.71595
256;90;410;5;0.70312
255;88;412;5;0.69020
254;86;414;5;0.67717
253;84;416;5;0.66403
252;82;418;5;0.65079
251;80;420;5;0.63745
250;78;422;5;0.62400
249;76;424;4;0.61044
248;74;426;4;0.59677
247;72;428;4;0.58300
246;70;430;4;0.56911
245;68;432;4;0.55510
244;66;434;4;0.54098
243;64;436;4;0.52675
242;62;438;4;0.51240
241;60;440;4;0.49793
240;58;442;4;0.48333
239;56;444;4;0.46862
238;54;446;3;0.45378
237;52;448;3;0.43882
236;50;450;3;0.42373
235;48;452;3;0.40851
234;46;454;2;0.39316
233;45;455;2;0.38627
232;44;456;2;0.37931
231;43;457;2;0.37229
230;42;458;2;0.36522
229;41;459;2;0.35808
228;40;460;2;0.35088
227;39;461;2;0.34361
226;38;462;2;0.33628
225;37;463;2;0.32889
224;36;464;2;0.32143
223;35;465;2;0.31390
222;34;466;2;0.30631
221;33;467;2;0.29864
220;32;468;2;0.29091
219;31;469;2;0.28311
218;30;470;2;0.27523
217;29;471;2;0.26728
216;28;472;2;0.25926
215;27;473;2;0.25116
214;26;474;2;0.24299
213;25;475;2;0.23474
212;24;476;2;0.22642
211;23;477;2;0.21801
210;22;478;2;0.20952
209;21;479;2;0.20096
208;20;480;2;0.19231
207;19;481;2;0.18357
206;18;482;2;0.17476
205;17;483;2;0.16585
204;16;484;2;0.15686
203;15;485;2;0.14778
202;14;486;2;0.13861
201;13;487;2;0.12935
200;12;488;2;0.12000
