VertexCount;EdgeCount;ComponentCount;MaxComponentSize;AverageDegree
264;418;250;250;3.16667
263;415;251;249;3.15589
262;411;252;248;3.13740
261;406;254;246;3.11111
260;403;255;245;3.10000
259;400;256;244;3.08880
258;396;257;243;3.06977
257;393;258;242;3.05837
256;388;259;241;3.03125
255;382;260;240;2.99608
254;381;261;239;3.00000
253;373;263;237;2.94862
252;369;264;236;2.92857
251;364;266;233;2.90040
250;362;267;232;2.89600
249;360;268;231;2.89157
248;357;269;230;2.87903
247;355;271;228;2.87449
246;353;272;227;2.86992
245;351;273;226;2.86531
244;347;274;225;2.84426
243;344;275;224;2.83128
242;342;276;223;2.82645
241;339;277;222;2.81328
240;333;279;220;2.77500
239;329;281;218;2.75314
238;327;282;217;2.74790
237;326;283;217;2.75105
236;321;284;216;2.72034
235;321;284;216;2.73191
234;319;285;215;2.72650
233;317;286;214;2.72103
232;313;287;213;2.69828
231;310;288;212;2.68398
230;310;288;212;2.69565
229;307;289;211;2.68122
228;303;290;210;2.65789
227;301;291;209;2.65198
226;301;291;209;2.66372
225;295;292;208;2.62222
224;294;293;207;2.62500
223;290;294;206;2.60090
222;288;296;204;2.59459
221;288;296;204;2.60633
220;283;299;200;2.57273
219;281;300;199;2.56621
218;280;301;198;2.56881
217;280;301;198;2.58065
216;277;303;196;2.56481
215;276;304;195;2.56744
214;274;305;194;2.56075
213;270;306;193;2.53521
212;266;307;192;2.50943
211;261;308;191;2.47393
210;260;309;190;2.47619
209;259;310;189;2.47847
208;252;313;185;2.42308
207;252;313;185;2.43478
206;248;314;184;2.40777
205;246;315;183;2.40000
204;243;316;182;2.38235
203;239;318;180;2.35468
202;238;319;179;2.35644
201;237;320;178;2.35821
200;232;322;176;2.32000
