VertexCount;EdgeCount;ComponentCount;MaxComponentSize;AverageDegree
255;376;266;231;2.94902
254;376;266;231;2.96063
253;374;267;230;2.95652
252;371;268;229;2.94444
251;370;269;228;2.94821
250;369;270;227;2.95200
249;368;271;226;2.95582
248;368;271;226;2.96774
247;366;272;225;2.96356
246;362;273;224;2.94309
245;360;274;223;2.93878
244;359;275;222;2.94262
243;357;276;221;2.93827
242;354;277;220;2.92562
241;349;279;216;2.89627
240;346;280;215;2.88333
239;344;281;214;2.87866
238;342;282;213;2.87395
237;340;283;212;2.86920
236;336;285;210;2.84746
235;329;286;209;2.80000
234;328;287;208;2.80342
233;326;288;207;2.79828
232;325;289;206;2.80172
231;324;290;205;2.80519
230;322;291;204;2.80000
229;319;292;203;2.78603
228;318;293;202;2.78947
227;316;294;201;2.78414
226;315;295;201;2.78761
225;313;296;200;2.78222
224;312;297;199;2.78571
223;310;298;198;2.78027
222;309;299;197;2.78378
221;304;300;196;2.75113
220;301;302;194;2.73636
219;299;303;193;2.73059
218;296;305;191;2.71560
217;295;306;190;2.71889
216;292;307;189;2.70370
215;290;308;188;2.69767
214;288;309;187;2.69159
213;287;310;187;2.69484
212;284;313;184;2.67925
211;279;315;182;2.64455
210;278;316;181;2.64762
209;278;316;181;2.66029
208;277;317;180;2.66346
207;275;318;179;2.65700
206;273;319;178;2.65049
205;270;321;176;2.63415
204;269;322;175;2.63725
203;266;323;174;2.62069
202;265;324;173;2.62376
201;262;325;172;2.60697
200;260;326;171;2.60000
